listing_url,full_listing_name,pokemon_name,grader,grade,current_price,fmv,card_set,card_number,condition,seller
https://www.phygitals.com/card/BNeBHiy62gZ8Sy4M4ZB2zFn8RydeUyfCv52CS9aBHvqw,2025 Pokemon Chinese SV Gem Pack Vol. 1 Stars Holo Chansey #1503 CGC 10 GEM MINT,1 Stars Holo Chansey,CGC,10,$12.95,$12.50,,,,
https://www.phygitals.com/card/2ZazCdYFh14LhpEDPe8aXPsEbRctUEzMrTRbwzUhCgaf,2015 Pokemon XY Primal Clash Torchic #25 CGC 8.5 NM-MT+,2015 Pokemon XY Primal Clash Torchic,CGC,8.5,$14.50,$12.96,,,,
https://www.phygitals.com/card/2025-pokemon-japanese-sv-battle-10duhv,2025 Pokemon Japanese SV Battle Partners Full Art Iono's Bellibolt ex CGC 8.5,s Bellibolt ex,CGC,8.5,$12.04,$0.192025,,,,
https://www.phygitals.com/card/2023-pokemon-obf-en-obsidian-fla-tcacff,2023 POKEMON OBF EN-OBSIDIAN FLAMES SPECIAL ILLUSTRATION RARE #227 POPPY PSA 9,2023 POKEMON OBF EN-OBSIDIAN FLAMES SPECIAL ILLUSTRATION RARE,PSA,9,$12.68,$12.96,,,,
https://www.phygitals.com/card/2023-pokemon-scarlet-violet-ho-llg0s5,2023 Pokemon Scarlet & Violet Holo Annihilape #109 CGC 9.5 MINT+,Violet Holo Annihilape,CGC,9.5,$12.97,$11.99,,,,
https://www.phygitals.com/card/EoCK5HWZHJEEwWqhS8Xr1SQLyYrjqsteuW8QrXNpmtUD,2007 Pokemon EX Power Keepers Reverse Holo Cacnea #46 CGC 9 MINT,2007 Pokemon EX Power Keepers Reverse Holo Cacnea,CGC,9,$12.85,$12.96,,,,
https://www.phygitals.com/card/2024-pokemon-japanese-sv-transfo-020s9k,2024 Pokemon Japanese SV Transformation Mask AR Dipplin #103 CGC 10 GEM MINT,2024 Pokemon Japanese SV Transformation Mask AR Dipplin,CGC,10,$13.03,$12.96,,,,
https://www.phygitals.com/card/2020-pokemon-japanese-swsh-shiny-qm1wgh,2020 Pokemon Japanese SWSH Shiny Star V Holo Shiny Cramorant #229 CGC 9.5 MINT+,2020 Pokemon Japanese SWSH Shiny Star V Holo Shiny Cramorant,CGC,9.5,$12.82,$12.96,,,,
https://www.phygitals.com/card/2022-pokemon-japanese-swsh-incan-1li2n1,2022 Pokemon Japanese SWSH Incandescent Arcana Alolan Vulpix VSTAR #23 CGC 10,2022 Pokemon Japanese SWSH Incandescent Arcana Alolan Vulpix VSTAR,CGC,10,$13.77,$12.96,,,,
https://www.phygitals.com/card/G7NNAew2s2iw3W1Y1caAWvyTWMSdoXjkaUGauSPACfVR,2019 POKEMON SUN & MOON HIDDEN FATES #48 EEVEE-HOLO PSA 8,MOON HIDDEN FATES,PSA,8,$12.20,$12.50,,,,
https://www.phygitals.com/card/2025-pokemon-chinese-sv-gem-pack-nnz20n,2025 Pokemon Chinese SV Gem Pack Vol. 1 Poke Ball Holo Floragato #0202 CGC AUTH,1 Poke Ball Holo Floragato,CGC,,$12.10,$0.992025,,,,
https://www.phygitals.com/card/2fSVTiDLfRfbcxL5wKYqTxGUW2dUGtavbb5bhANMtqM9,2021 Pokemon Japanese Sword & Shield VMAX Climax Holo Charizard #17 CGC 9 MINT,Shield VMAX Climax Holo Charizard,CGC,9,$12.38,$12.71,,,,
https://www.phygitals.com/card/5aaNZ2Lfy833JoPkwf1jTr6o8p5YWrvkXf3RwtaSjiCm,2023 POKEMON MEW EN-151 #145 ZAPDOS EX PSA 8,2023 POKEMON MEW EN-151,PSA,8,$12.30,$12.80,,,,
https://www.phygitals.com/card/3PtcM8og2qd8qdqBog43MJoQoJR1U6NLfVUSJLZXa9rL,"2018 POKEMON CELESTIAL STORM,  COSMOS HOLO - DRAGON TINS SALAMENCE CGC 9",COSMOS HOLO,CGC,9,$12.09,$12.96,,,,
https://www.phygitals.com/card/2012-pokemon-japanese-bw-thunder-t9g074,2012 Pokemon Japanese BW Thunder Knuckle 1st Edition Beldum #25 CGC 10 GEM MINT,2012 Pokemon Japanese BW Thunder Knuckle 1st Edition Beldum,CGC,10,$13.35,$12.96,,,,
https://www.phygitals.com/card/4eYj7etAqbriABEr9rybqRWj2PgMTCr4V5LAm4UBmA2P,2022 Pokemon Japanese Sword & Shield VSTAR Universe AR Manaphy #178 CGC 9 MINT,Shield VSTAR Universe AR Manaphy,CGC,9,$10.40,$12.96,,,,
