listing_url,full_listing_name,pokemon_name,grader,grade,current_price,fmv,card_set,card_number,condition,seller
https://www.phygitals.com/card/36BxgYEbfksFZUrc9yK1DzPEWXvgNyxiVD6dHuhgXYG1,2022 POKEMON JPN SWORD & SHIELD VSTAR UNIVERSE #125 REGIGIGAS VSTAR PSA 9,JPN SWORD & SHIELD VSTAR UNIVERSE,PSA,9,$11.26,$11.88,,125,,
https://www.phygitals.com/card/H3sfgpdbyDi6vAG16tjnS2xEyba8w99Nuocw245F3jqj,2007 Pokemon Japanese DP Dawn Dash 1st Edition Holo Phione #528 CGC 9 MINT,Japanese DP Dawn Dash 1st Edition,CGC,9,$12.40,$11.88,,528,,
https://www.phygitals.com/card/2025-pokemon-japanese-sv-glory-o-illdg1,2025 Pokemon Japanese SV Glory Of The Rocket Gang Team Rockets Moltres ex CGC 10,Japanese SV Glory Of The Rocket,CGC,10,$11.33,$11.87,,,,
https://www.phygitals.com/card/2025-pokemon-japanese-sv-glory-o-w75rng,2025 Pokemon Japanese SV Glory Of The Rocket Gang Team Rockets Moltres ex CGC 10,Japanese SV Glory Of The Rocket,CGC,10,$11.33,$10.04,,,,
https://www.phygitals.com/card/FD1jGws87JjsnU3tPFd9GaWDCYUSwQJAqDue8K65HmLK,2000 POKEMON GYM HEROES 1ST ED #70 BROCK'S RHYHORN PSA 7,GYM HEROES 1ST ED #70 BROCK'S,PSA,7,$12.94,$11.88,,70,,
https://www.phygitals.com/card/2024-pokemon-japanese-sv-terasta-ti0lkg,2024 Pokemon Japanese SV Terastal Fest ex Eevee ex #126 CGC 9 MINT,Japanese SV Terastal Fest ex Eevee,CGC,9,$8.72,$11.34,,126,,
https://www.phygitals.com/card/2022-pokemon-japanese-swsh-vstar-0wjqvz,2022 Pokemon Japanese SWSH VSTAR Universe Full Art Mew VMAX #54 CGC 8.5 NM-MT+,Japanese SWSH VSTAR Universe Full Art,CGC,8.5,$8.88,$11.87,,54,,
https://www.phygitals.com/card/1997-pokemon-japanese-rocket-gan-98n7sl,1997 Pokemon Japanese Rocket Gang Meowth #52 CGC 9 MINT,Japanese Rocket Gang Meowth #52 CGC,CGC,9,$12.29,$11.88,,52,,
https://www.phygitals.com/card/2025-pokemon-chinese-sv-gem-pack-nnz20n,2025 Pokemon Chinese SV Gem Pack Vol. 1 Poke Ball Holo Floragato #0202 CGC AUTH,Chinese SV Gem Pack Vol. 1,CGC,,$11.85,$0.992025,,0202,,
https://www.phygitals.com/card/FYU7T9XckMEJH2qZRB3K34Re348a3dyX9hAbFQxiWVnG,2013 Pokemon Black & White Unnumbered Grass Energy CGC AUTH,Black & White Unnumbered Grass Energy,CGC,,$10.80,$5.52013,,,,
https://www.phygitals.com/card/2023-pokemon-scarlet-and-violet-lvqjtn,2023 Pokemon Scarlet and Violet High Class Pack Shiny Treasure Ex Japanese S Dolliv #204 CGC 10,Scarlet and Violet High Class Pack,CGC,10,$11.75,$11.88,,204,,
